Age,Weight,Height,Gender,Shoulder_girth,Chest_girth,Waist_girth,Abdominal_girth,Hip_girth
32,55.5,174,2,94.9,79.9,62.5,74,87.6
41,77.3,170.2,2,98.9,93,80.5,98.8,107.2
33,80.5,160,2,106.4,96.3,86.1,107.4,112
28,64.5,167.6,2,102.2,86.8,71.3,85.7,94
28,72.3,167.6,2,110.3,95.3,79.4,90.9,102.7
25,61.4,167.6,2,107.3,93,72.3,89,92
38,58.2,154.9,2,95,86.4,67.4,86.7,98.4
37,81.8,162.6,2,115.6,109,94.2,110.5,103.5
25,63.6,175.3,2,99.3,86.2,67,85.3,96.7
37,53.4,171.4,2,93.1,85.3,69.5,86.2,90.6
27,54.5,157.5,2,94.9,84.2,66.4,79.3,92
27,53.6,165.1,2,100,83.7,67.6,84.1,90.4
20,60,160,2,98.6,86.5,66.6,87.5,96.7
19,73.6,174,2,107.2,98.2,69.7,86,94.9
32,61.4,162.6,2,98.3,88,72,86,95.5
26,55.5,174,2,92.4,80.4,64.5,81.7,88.4
56,63.6,162.6,2,93,86,72.3,91.7,97.8
23,60.9,161.3,2,99.5,86.4,69.1,87.8,95.4
19,60,156.2,2,92.8,87.6,74.7,77,97.7
31,46.8,149.9,2,95.9,80.9,60.8,77.4,84.6
34,57.3,169.5,2,96.1,82.1,66.9,82.4,91.6
34,64.1,160,2,98.5,89.3,68.8,90.8,103.3
24,63.6,175.3,2,103.8,85.3,63.7,85.3,96.3
22,67.3,169.5,2,105,89,71.2,86.1,93.5
34,75.5,160,2,100.2,94.1,79.6,103.5,104.3
30,68.2,172.7,2,99.1,90.8,77.9,90.6,96.3
32,61.4,162.6,2,107.6,97,69.6,90.2,98.3
40,76.8,157.5,2,104,95.4,86,107.1,112.1
29,71.8,176.5,2,108.4,91.8,69.9,90.4,101
21,55.5,164.4,2,99.3,87.3,63.5,79.2,89.5
33,48.6,160.7,2,91.9,78.1,57.9,75.1,86.9
33,66.4,174,2,107.1,90.9,72.2,89.4,98.6
38,67.3,163.8,2,100.5,97.1,80.4,100.8,102.2
